Full Text Tweet;Datum und Uhrzeit
Ein gutes Jahr ist wie ein gutes Brot. Gesund und knusprig. Ein Vorgeschmack auf die Neujahrsansprache 🙂 https://t.co/UQdo0JMGGc;01-Jan-2020 (09:37:58.000000)
Il Consiglio federale – un ensemble. L’interazione politica collegiale di oggi crea le soluzioni per il domani.////https://t.co/ZQIlvQKzEk;31-Dec-2019 (11:30:01.000000)
Le Conseil fédéral - un septuor bien accordé. L’esprit de collégialité favorise l’émergence des solutions politiques de demain.////https://t.co/G4PHmVUGzq;31-Dec-2019 (11:28:56.000000)
Der Bundesrat – ein Ensemble. Im konstruktiven politischen Zusammenspiel entstehen heute Lösungen für morgen.////https://t.co/clQkWFw2Zx;31-Dec-2019 (11:28:10.000000)
Allen viel «Pfuus» im 2020!//A toutes et à tous, je souhaite plein d'énergie pour 2020!//Per un 2020 pieno di «energia»! https://t.co/Ur3Jrmoh8y;30-Dec-2019 (15:31:27.000000)
Die besinnlichen Tage sind oft stressig… umso mehr wünsche ich allen erholsame Festtage. Bonnes Fêtes!;24-Dec-2019 (12:55:19.000000)
"Hans und ich im Glück ;) Merci #Biel, merci #Bern! https://t.co/PCQz3MjsO5";20-Dec-2019 (15:53:26.000000)
Historisch: Am 20. Dezember wird das AKW #Mühleberg abgeschaltet. Die Zukunft gehört der einheimischen, sauberen Energie aus Wasser und Sonne. #Energiewende https://t.co/Br5m92m24l;19-Dec-2019 (08:27:25.000000)
Ich bin enttäuscht von den Ergebnissen der Weltklimakonferenz. Wir haben uns für klare Marktregeln eingesetzt, die auch wirklich greifen. Die Schweiz ist jetzt umso mehr gefordert, mit starken Klimaschutzmassnahmen im Inland voranzugehen. #COP25//https://t.co/ZTCx8wHoOF;15-Dec-2019 (13:05:21.000000)
Endspurt von unserer Delegation an der Klimakonferenz in Madrid. Wertvolle Einblicke von allen, darunter auch von der jungen Klimadelegierten @MarieClaireGraf, die sich im Video zur #COP25 äussert. https://t.co/JSFMvvmjKM;13-Dec-2019 (18:17:00.000000)
Wir müssen verhindern, dass weitere Zeitungen verschwinden. Regionen dürfen nicht zum medialen Niemandsland werden.//https://t.co/fSi4vA89iX;13-Dec-2019 (10:42:14.000000)
Le Léman Express est une nouvelle vision du développement des villes. https://t.co/utBzPvRF15  @FJournes #LémanExpress #PlusQueDesVoisins https://t.co/zmLuph9DBP;12-Dec-2019 (15:37:45.000000)
"""Aufbruchstimmung liegt in der Luft. Noch nie war die Bevölkerung im Parlament so breit abgebildet: viele Mütter, viele Frauen, junge Menschen. Das wird die Politik und damit das Leben der Menschen in unserem Land verändern."" Meine Rede zur BP-Wahl: https://t.co/sz48vi4XVH https://t.co/fx2j01250z";11-Dec-2019 (10:59:30.000000)
Zweites Skype-Gespräch mit Umweltbotschafter Franz Perrez. Es geht in Schlussphase der Weltklimakonferenz #Cop25. Die Verhandlungen sind hart, aber die CH bleibt dran. Nächste Schaltung am Freitag. https://t.co/AjbQshDfRL https://t.co/Eiwnfw5QNU;10-Dec-2019 (15:17:30.000000)
