Full Text Tweet;Datum und Uhrzeit
A huge win in Hillingdon East by-election - thanks to the @Hillingdon_Tory team for their hard work during the campaign. ////Colleen has already proven she’s a strong voice for local residents in Hillingdon and I know she’ll be a great addition to the fantastic team of councillors! https://t.co/aDKx6579nR;28-Feb-2020 (14:02:59.000000)
We want to end rough sleeping, help get people off the streets and provide them with the support and encouragement that they need. https://t.co/WMfg72hEa1;27-Feb-2020 (17:04:00.000000)
I was delighted to welcome the young winners of the 'Your NHS' art competition to Downing Street today. ////Their creative designs and visions for our NHS were spectacular. https://t.co/l5G5p4slUa;24-Feb-2020 (18:21:29.000000)
I'm deeply saddened to hear of the attack at the London Central Mosque. It's so awful that this should happen, especially in a place of worship. My thoughts are with the victim and all those affected.;20-Feb-2020 (16:52:35.000000)
My thoughts are with the people of Germany as they grieve those lost in the terrible attack in Hanau last night. ////The UK stands with our German friends against this racist assault on our values.;20-Feb-2020 (13:22:44.000000)
Next year, we will implement a points-based immigration system - welcoming the best and brightest from around the world whilst maintaining full control of our borders.  ////https://t.co/XFbjECICbD;19-Feb-2020 (17:36:00.000000)
We also agreed on the need to work together to tackle climate change, and resolved to strengthen our economic partnership. (2/2);18-Feb-2020 (13:49:20.000000)
This morning I spoke to Chinese President Xi to express my sympathy and support for those affected by the coronavirus outbreak. The UK government has donated vital medical equipment to the region and we will continue to offer our assistance. (1/2);18-Feb-2020 (13:49:07.000000)
We’re here to deliver for the people of this country. ////We're going to cut crime, we're going to tackle homelessness, and we’re going to invest more in our NHS and schools. https://t.co/DSuQLBPQRZ;14-Feb-2020 (12:37:13.000000)
This government will deliver on the priorities of the British people.// //Investing more in our NHS and schools, levelling up with better infrastructure, and tackling crime with 20,000 more police on the streets. https://t.co/vMz7O9cXtO;14-Feb-2020 (12:10:16.000000)
We’re going to unite and level up across the country with better rail, less congested roads and beautiful British-build buses - making travel cleaner, greener, quicker, safer and more frequent. // //https://t.co/ombj6Bb0s9;12-Feb-2020 (07:35:00.000000)
Fantastic to visit HS2’s Birmingham Curzon Street site this afternoon. ////This project will deliver better, faster and more reliable transport connections across the country. https://t.co/5T53bNMXoT;11-Feb-2020 (20:03:00.000000)
HS2 is going to be a truly fantastic opportunity for Birmingham, the Midlands and for the whole country. https://t.co/g4J47XEtXw;11-Feb-2020 (19:00:00.000000)
.@KarenPierceUN is an outstanding and accomplished diplomat and I can think of no better person to drive forward our hugely important relationship with the United States at this time. I’m delighted she’ll be representing us in Washington.;07-Feb-2020 (11:50:29.000000)
We’re increasing our support for military veterans. ////https://t.co/n9LYBGjDry;06-Feb-2020 (16:14:29.000000)
We are shortly bringing forward legislation to end the automatic early release of terrorist offenders. #PeoplesPMQs https://t.co/KMOttaHiP0;06-Feb-2020 (12:06:47.000000)
We're transforming mental health services for children and young people – putting in the money and resources so every child can get the support they need.// //#ChildrensMentalHealthWeek https://t.co/sVHXhqlbOe;06-Feb-2020 (07:29:00.000000)
WATCH LIVE: I answer your questions #PeoplesPMQs #PPMQs https://t.co/r836l07xpy;05-Feb-2020 (17:01:42.000000)
Let’s make this year the moment when we come together with the courage and the technological ambition to solve man-made climate change and to choose a cleaner, greener future for all our children and grandchildren. https://t.co/wuFS5z2cFY;04-Feb-2020 (19:35:00.000000)
🎙 I’m hosting another #PeoplesPMQs tomorrow night at 5pm. // //💬 Send me your questions here: https://t.co/f85fLz0f4z https://t.co/NpVYMUHom7;04-Feb-2020 (18:10:36.000000)
Delighted to launch the UN Climate Summit //@COP26 with Sir David Attenborough at the //@sciencemuseum this morning. ////There is no greater responsibility than protecting our planet, and no mission that a Global Britain is prouder to serve. https://t.co/iBgkYuTetm;04-Feb-2020 (11:59:53.000000)
We are re-emerging, after decades of hibernation, as a campaigner for global free trade 🇬🇧🌏 https://t.co/zos7YKVCvd;03-Feb-2020 (20:31:32.000000)
Thank you to all emergency services responding to the incident in Streatham, which the police have now declared as terrorism-related. My thoughts are with the injured and all those affected.;02-Feb-2020 (16:03:18.000000)
Thank you to @SteveBarclay, @LordCallanan, @JamesDuddridge and to everyone at DExEU for all of your hard work and dedication in getting Brexit delivered.;01-Feb-2020 (21:41:35.000000)
As we embark on a new chapter, let's come together and build a brighter future for the next generation. https://t.co/0VHVPfv5sp;01-Feb-2020 (10:15:00.000000)
Tonight we have left the EU - an extraordinary turning point in the life of this country. Let us come together now to make the most of all the opportunities Brexit will bring - and let’s unleash the potential of the whole UK. 🇬🇧;31-Jan-2020 (23:00:58.000000)
Tonight we are leaving the European Union. https://t.co/zZBsrf4BLe;31-Jan-2020 (22:00:00.000000)
This government will unite and level up our country.////And as we build a new relationship with the EU, I urge everyone to find closure and let the healing begin. https://t.co/DnEdK4uiKY;31-Jan-2020 (12:35:00.000000)
Tonight at 10pm I’ll be giving an address to the nation, which you can watch on my Facebook page: https://t.co/ido2hy9GGX;31-Jan-2020 (12:10:43.000000)
Today I invited children from across our country to Downing Street to ask me their questions about the future of the UK. ////We spoke about climate change, the NHS, education, science, tech and much more. https://t.co/R7UFhmYB4Q;30-Jan-2020 (18:49:17.000000)
We're going to tackle homelessness by addressing its root causes. #PeoplesPMQS https://t.co/2UpzVlSBfh;30-Jan-2020 (08:03:00.000000)
Youth knife crime is a massive issue for this country. We need to tackle it. #PeoplesPMQs https://t.co/R6JYU0OIcw;29-Jan-2020 (21:20:00.000000)
What I will be doing when we leave the EU at 11pm this Friday. #PeoplesPMQs https://t.co/KrQ4C2f6Oe;29-Jan-2020 (19:58:03.000000)
Thank you for your questions this evening for the #PeoplesPMQs. ////Tune in for my address this Friday at 10pm. https://t.co/FHyNQJ4AUN;29-Jan-2020 (18:54:03.000000)
I’m answering your questions live from Downing Street https://t.co/Cu20XxEkaL;29-Jan-2020 (17:00:38.000000)
“Will Brexit affect my holiday?”// //I’ve answered some of your top searched questions about Brexit and what happens when we leave the EU on Friday. https://t.co/3LelRgfFPb;28-Jan-2020 (22:09:08.000000)
🎙 Get ready for another #PeoplesPMQs, 5pm tomorrow night!////💬 Send me your questions here:  https://t.co/wr6740CPjj https://t.co/orxegNtTyB;28-Jan-2020 (17:07:52.000000)
I’m delighted to hear @Sainsburys is leading the way for UK business by pledging to go carbon neutral, backed by significant investment. We must all work together to achieve Net Zero emissions. https://t.co/slrlvp1EKy;28-Jan-2020 (08:19:04.000000)
Fantastic to visit @kingsmathschool yesterday and meet with these bright students and their teachers. ////We’re making an extra £300 million available for research into advanced mathematics, and will introduce a new fast track visa system to welcome more scientists to the UK. https://t.co/uLF6dRmwlQ;28-Jan-2020 (07:48:00.000000)
As long as I am Prime Minister, I will never allow this country to forget what happened 75 years ago. I will do all I can to see that we continue to learn the lessons of the past. ////#HolocaustRemembranceDay ////https://t.co/wp7t49CPfr;27-Jan-2020 (12:48:57.000000)
I was truly honoured to meet Mala Tribich MBE and hear her story of surviving the horrors of the Holocaust. ////We should all listen to her message, remember and commit ourselves to ensuring that this never happens again.////#HolocaustMemorialDay #WeRemember https://t.co/wGdmJZR42J;27-Jan-2020 (12:05:03.000000)
"This Australia Day, I want all our Aussie friends to know that we Brits are thinking of you. Your resilience &amp; positive spirit has been an inspiration to us all. // //Our two nations share a very special friendship that I hope will continue to strengthen. Happy Australia Day.";25-Jan-2020 (23:32:03.000000)
Seamus Mallon made an extraordinary contribution to democracy and peace in Northern Ireland. I want to express my sincere condolences to his daughter Orla, to his family and friends and to the SDLP.;24-Jan-2020 (19:22:44.000000)
Today I have signed the Withdrawal Agreement for the UK to leave the EU on January 31st, honouring the democratic mandate of the British people. // //This signature heralds a new chapter in our nation’s history. https://t.co/IaGTeeL2is;24-Jan-2020 (17:25:02.000000)
The Withdrawal Agreement has received Royal Assent and is now law. We will leave the EU on January 31st 🇬🇧;23-Jan-2020 (18:37:12.000000)
We’re recruiting 20,000 more police and giving them the powers they need to tackle crime. #PeoplesPMQs https://t.co/EgPqR0wtup;23-Jan-2020 (13:34:25.000000)
Thank you for your questions. See you again next week #PeoplesPMQs https://t.co/wc1uZhkaTg;22-Jan-2020 (18:37:23.000000)
LIVE: I'm answering your questions from Downing Street https://t.co/WoBwpJgjiV;22-Jan-2020 (17:03:07.000000)
🎙 Get ready for another #PeoplesPMQs at 5pm today!////💬 Send me your questions here: https://t.co/4gBIkrPJHh https://t.co/1KpndoISUV;22-Jan-2020 (13:08:37.000000)
Today I hosted leaders and entrepreneurs at the UK-Africa Investment Summit in London #InvestInAfrica https://t.co/pux2EokmB6;20-Jan-2020 (13:40:52.000000)
Today is the first step towards putting our record NHS funding commitment into law. https://t.co/IXyhtub9SY;15-Jan-2020 (14:05:18.000000)
We will leave the EU on January 31st and build a great new partnership with our European friends. ////Britain has a bright future ahead. https://t.co/T4vggJi1l8;14-Jan-2020 (14:30:45.000000)
Today I have written to Nicola Sturgeon. The Scottish people voted decisively to keep our United Kingdom together, a result which both the Scottish and UK Governments committed to respect. ////Let's make 2020 a year of growth and opportunity for the whole of the UK 🇬🇧 https://t.co/JjQp3X2J2n;14-Jan-2020 (11:02:05.000000)
Northern Ireland politicians have put aside their differences, stepped up to the plate and shown leadership. https://t.co/CLpbqAZV7a;13-Jan-2020 (20:38:13.000000)
There's a fantastic future for Northern Ireland as part of the United Kingdom, and we're here to support them. https://t.co/9JkdyplwW3;13-Jan-2020 (19:04:59.000000)
RIP Sir Roger Scruton. We have lost the greatest modern conservative thinker - who not only had the guts to say what he thought but said it beautifully.;13-Jan-2020 (10:52:05.000000)
This is a great step forwards for the people of Northern Ireland and for restoring public confidence in stable devolved Government and delivering much needed reforms to public services.;10-Jan-2020 (18:38:22.000000)
Today I met with @vonderleyen. When we leave the EU on January 31st, we will negotiate a new free trade agreement with our European partners and continue to work together as friends and sovereign equals to tackle the world’s greatest challenges. https://t.co/ahN6gYqIVn;08-Jan-2020 (18:15:54.000000)
Our hearts go out to all those in Australia affected by these devastating fires. I have been in touch with PM @ScottMorrisonMP to offer any assistance we can provide. We stand with you at this very difficult time. 🇬🇧🇦🇺;06-Jan-2020 (21:24:28.000000)
This is going to be a fantastic year for Britain. https://t.co/dLQUVauCKg;02-Jan-2020 (10:18:00.000000)
Happy New Year! Let’s make 2020 a fantastic year for Britain. https://t.co/vp6WL1OFkD;31-Dec-2019 (22:40:00.000000)
We are going to level up and unite our country. We are going to get Brexit done and deliver the change that people voted for. And we are going to protect and invest in our amazing NHS.;31-Dec-2019 (09:12:00.000000)
We are going to legislate for the biggest investment in our NHS in living memory. https://t.co/Wh92Hjegmk;30-Dec-2019 (12:15:00.000000)
We will be out of the EU on 31st January. We will invest billions more in our NHS. We will level up and unite our country. #PeoplesGovernment;29-Dec-2019 (13:11:00.000000)
We are going to get Brexit done and unite our fantastic country. https://t.co/16iNCLv2EA;28-Dec-2019 (10:20:00.000000)
