Full Text Tweet;Datum und Uhrzeit
"#Austria is a staunch supporter of a credible #EU perspective for all #WesternBalkans states. I am therefore happy that we were able to reach political agreement on opening accession negotiations with #Albania &amp; #NorthMacedonia today.";24-Mar-2020 (16:52:14.000000)
"Danke an alle in unserer Republik, die rund um die Uhr daran arbeiten, unser Land bestmöglich durch diese Krise zu bringen. Danke auch an Sie, liebe Österreicherinnen &amp; Österreicher, für Ihren Beitrag, damit wir alle gemeinsam Leben retten &amp; diese Krise bestmöglich überstehen.";24-Mar-2020 (11:26:55.000000)
"Alle Unternehmen werden ersucht, auf das Modell der Kurzarbeit zu setzen, um Arbeitsplätze zu sichern. Als Bundesregierung haben wir darüber hinaus ein Paket für Härtefälle &amp; die Notfallhilfe beschlossen, die gerade finalisiert &amp; demnächst in Anspruch genommen werden können.";24-Mar-2020 (11:26:48.000000)
"Wir rechnen mit dem Ausfall vieler Mitarbeiter im Bereich der Pflege, die aus Osteuropa zu uns kommen. Daher haben wir bereits Zivildiener mobilisiert &amp; werden 100 Millionen Euro in die Hand nehmen, um sicherzustellen, dass wir den Ausfall zumindest abfedern können.";24-Mar-2020 (11:26:28.000000)
Wir werden auch auf Schnelltests setzen, um möglichst bald 100.000 Menschen breitenwirksam zu testen. Diese Schnelltests haben nicht dieselbe Qualität wie die Tests, mit denen wir derzeit arbeiten, aber es ist die einzige Möglichkeit, um wirklich Hunderttausende zu testen.;24-Mar-2020 (11:26:15.000000)
"Neben der Reduktion des sozialen Lebens ist das wichtigste Ziel: Testen, testen, testen – je mehr, desto besser. Wir werden die Kapazitäten auf rund 15.000 pro Tag auszubauen &amp; diese durchführen, sofern wir die notwendigen Ressourcen vom Weltmarkt erhalten.";24-Mar-2020 (11:26:15.000000)
"Neben gutem medizinischem Personal &amp; ausreichend Betten braucht es für den Ernstfall auch Schutzausrüstung &amp; Testkapazitäten. Ein besonderer Dank gilt der Volksrepublik China, von der wir 20 Millionen Schutzmasken erhalten – 5 Millionen davon schon diese Woche.";24-Mar-2020 (11:25:43.000000)
Ein großes Danke an alle jene Menschen, die sich an die vorgegebenen Maßnahmen halten. Wir dürfen aber nicht zulassen, dass Einzelne nicht nur sich selbst, sondern auch andere in Gefahr bringen. Daher wird die Polizei diejenigen strafen, die sich nicht an die Maßnahmen halten.;24-Mar-2020 (11:25:02.000000)
"Es gibt aber noch genug zu tun &amp; jede &amp; jeder Einzelne kann einen Beitrag leisten. Für uns als Bundesregierung gibt es drei Prioritäten, an denen wir derzeit arbeiten: 1. Einhaltung der Regeln, 2. Kapazitäten im Gesundheitsbereich schaffen &amp; 3. Arbeitsplätze bestmöglich sichern.";24-Mar-2020 (11:24:43.000000)
"Wir sind überzeugt davon, dass wir das Richtige tun, aber die Maßnahmen brauchen Zeit, bis sie greifen. Am Freitag werden wir valides Zahlenmaterial haben &amp; darüber informieren, wie stark die Maßnahmen greifen &amp; mit welchem Szenario wir zu rechnen haben.";24-Mar-2020 (11:24:21.000000)
"Wir erleben gerade alle eine herausfordernde Zeit für #Österreich, für die #EU &amp; weite Teile der Welt. Mir ist bewusst, dass es für viele nicht einfach ist. Danke an alle Österreicherinnen &amp; Österreichern, denn es ist ein wesentlicher Beitrag, den jede &amp; jeder leisten kann.";24-Mar-2020 (11:24:00.000000)
"Devastating #earthquake in #Croatia this morning. Our thoughts are with our friends in Croatia &amp; wishing a swift recovery to those injured. Stojimo uz vas! @AndrejPlenkovic";22-Mar-2020 (10:54:48.000000)
Congratulations to Igor Matovič on assuming office as Prime Minister of #Slovakia. I look forward to continuing the close cooperation with our neighbouring country. In times of crisis this is more important than ever.;21-Mar-2020 (16:30:15.000000)
"Wir haben uns darauf verständigt, dass die Maßnahmen bis Ostermontag (13.4.) verlängert werden. Jede &amp; jeder, der die Maßnahmen mitträgt, ist ein Lebensretter &amp; schützt sich selbst, seine Familie &amp; leistet einen Beitrag dazu, dass wir die gesamte Bevölkerung schützen. #COVID19";20-Mar-2020 (11:35:23.000000)
"Meine große Bitte heute ist: Halten Sie durch! Wir dürfen nicht nachlassen &amp; müssen die Maßnahmen, die wir gesetzt haben, weiter fortsetzen. Die Richtung ist hier eindeutig: Die Maßnahmen wirken, aber wir müssen durchhalten. #COVID19";20-Mar-2020 (11:35:13.000000)
Derzeit gibt es sehr viel Unsicherheit in unserem Land. Wir tun das Richtige, das haben auch viele Experten bestätigt. Wir schaffen, was wir uns vorgenommen haben: Es gibt weniger soziale Kontakte und damit reduzieren wir auch die Ansteckungen. #COVID19;20-Mar-2020 (11:34:51.000000)
